NAME	TYPE 	DATE	VALUATION	INFO	CO-FOUNDERS	FUNDINGS	Legendary
1mg	Healthcare	2013	unkown	1mg is India’s leading consumer health platform with over 5 Million downloads. It aspires to be the trusted health partner for all Indians and its mission is to make healthcare accessible, understandable and affordable for a billion Indians.	Sameer Maheshwari, Prashant Tandon	undisclose	0
Apple	public	April 1976		"Apple is a multinational corporation that designs, manufactures, and markets mobile communication and media devices, personal computers,  portable digital music players, and sells a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. Apple provides many products and services, including iPhone, iPad, iPod, Mac, Apple TV. All in all, ""IT OWNS IPHONE !!!!!"" "	Steve Jobs, Ron Wayne, Steve Wozniak	$1 billion	1
Bank Bazaar	E-Commerce	07/01/2008		'BankBazaar.com is the world''s first neutral online marketplace that gives you instant customized rate quotes on loans and insurance products.Their goal is to make it easy for everyone to get a great deal on a loan or an insurance product.'	Rati Shetty	$79.75 million	0
Big Basket	Online shopping	2011		The company currently operates from Bangalore, Mumbai and Hyderabad and has a diverse portfolio that carries more than 12,000 products and over 1,000 brands.The grocery retail market in India is growing at about 10% CAGR and is about USD 350Bn in size. Within this the online grocery market is expected to be about USD 10Bn in the next 4 years from now. A majority of this market is likely to be concentrated in the urban cities in the country.There are a number of start-ups such as ZopNow, Aaram-Shop, and Farm2Kitchen in this category with each city having multiple local players. The winner in this category is going to be one who addresses the multiple challenges in delivering a great service to the customer.	Mr Hari Menon		0
BookMyShow	Entertainment	August 2007		Network 18 invested in March 2007. In August, the same year an internal contest was held to coin a name for the new company. A developer intern came up with the name BookMyShow.com and the rest as they say is history.What happens when 3 long-time friends go holidaying together in South Africa? The seed of a BigTree is planted. A company is planned, from roots to fruits. Soon after the Eureka moment, C.E.O. Ashish Hemrajani quits his job at JWT, Co-Founder Parikshit Dar takes over Technology, and Co-Founder Rajesh Balpande takes over Finance.	Ashish Hemrajani, Parikshit Dar and Rajesh Balpande,		0
Cardekho	Automotive	2008		'CarDekho.com is India''s leading car search venture that helps users buy cars and bikes that are right for them.The company has tie-ups with many auto manufacturers, more than 4000 car dealers and numerous financial institutions to facilitate the purchase of vehicles.'	Amit Jain, Anurag Jain	$65M	0
CarTrade	Automotive	2010	240.30 million USD	'CarTrade.com is India''s leading online automotive market for buyers and sellers of new and used vehicles.'	Vinay Sanghi	$145 million 	0
cleartrip	Travel	2006		"'This site was one among the most popular at the time of release.It collaborated with severals companies offering exciting discounts in order to attract customers.The slogan of cleartrip says ""Making Travel Simple''.'"	Matthew Spacie,Hrush Bhatt & Stuart Crighton	$56.4 million	0
Craftsvilla	E-Commerce	2011		CraftsVilla is the place to Discover unique Indian handmade products from designers and artisans. They ensure that best raw materials are used, minimal use of chemicals, preference of natural dyes and quality check each product multiple times. 	Bhavik Jhaveri, Tirath Kamdar, Manoj Gupta, Sarvajeet Chandra, Monica Gupta	$54.5M	0
Crowdfire	social	February 2010	$4.4M	Crowdfire is an application that allows the user to manage social media accounts. Crowdfire was founded in February 2010.Initially it was named as JustUnfollow.It was a product built on Twitter that allows users to know things like who unfollowed them, who are the spammers following them and more such rather curiosity quenching features.	Nischal Shetty	$2.5M	0
dailyhunt	Mobile App	2009		Dailyhunt was earlier called Newshunt. Newshunt was created by Umesh Kulkarni and Chandrashekhar Sohoni in 2009 who once worked for Nokia. It worked on the Symbian platform and gained 1.8 crore page views in two years. In 2011 Newshunt became available on the Android platform. It was by that time that Gupta acquired the application.	Virendra Gupta		0
Droom	Automotive	June 2014		Droom Technology is an online marketplace to buy and sell used cars, bikes, scooters, bicycles and much more automobiles. D	Sandeep Aggarwal	$43M 	0
Dropbox	Online backup service	June 2007		'Dropbox''s mission is to provide a home for everyone''s most important information and bring it to life. We make it easy for hundreds of millions of people to access, share, and collaborate on their files so they can be more productive — at home and at work.'	Drew Houston, Arash Ferdowsi	$1.11 billion	0
Ecom Express	E-Commerce	2013		Ecom Express Private Limited is a Company promoted by the veterans of the Express Industry of India. The Company is formed for catering to the dynamic needs of electronic commerce industry which is growing by leaps and bound.	T. A. Krishnan, K. Satyanarayana, Manju Dhawan, Sanjeev Saxena	$149.61 million	0
Faasos	Food Tech	2011	54 million USD	FAASOS is a ‘food on demand’ company primarily disrupting how people order and get food delivered on mobile.	Kallol Banerjee,Jaydeep Barman	$30 million	0
Facebook	social	Feb 2004		Facebook is an online social networking service that allows its users to connect with friends and family as well as make new connections. It provides its users with the ability to create a profile, update information, add images, send friend requests, and accept requests from other users. Its features include status update, photo tagging and sharing, and more.	Dustin Moskovitz, Chris Hughes, Andrew McCollum, Mark Zuckerberg, Eduardo Saverin	$2.43 billion	1
FLIPKART	E-Commerce	October 2007	$5.54 BILLION	IT STARTED OF AS A BOOK SELLING WEBSITE.THE INITIAL INVESTMENT IN THE MAKING OF THE WEBSITE WAS 4 LAKHS.BOTH THE CO-FOUNDERS ARE ALUMNI OF IIT DELHI.IT IS TIED UP WITH 12 DIFFERENT COURIER SERVICES AS OF NOW.	SACHIN BANSAL AND BINNY BANSAL	$700 million	0
Grofers	E-Commerce	December 2013		"The name Grofers comes from ""grocery gophers"".Grofers offers a wide assortment of groceries, fruits & vegetables, cosmetics, electronics, bakery items, pet care products and much more. Grofers currently operates in a total of 26 cities across India."	Saurabh Kumar, Albinder Dhindsa	$165.5M	0
HealthKart	E-Commerce	March 2011		HealthKart, a part of Bright Lifecare Pvt. Ltd. is an online portal for Dietary supplements and health devices in the Health care industry in India.HealthKart acquired online fitness and bodybuilding community and supplement store MadeInHealth in 2012	Prashant Tandon, Sameer Maheshwari	$12 million	0
Hike	social	December 2012	$1.4 billion	Hike supports two chat themes that a user can change based on their relationship with the person or their mood.hike has around 5000+ stickers,and also had conducted a great indian sticker challenge inviting people to design sticker of their own. It also allows 100Mb of data sharing at a time.	Kavin Bharti Mittal	$182 million	0
InCred Finance	Financial Services	2016		Founded by former Deutsche Bank executive,the company is described as a technology led financial service that focuses on SME loans, consumer/personal loans, home loans and education loans.	Bhupinder Singh	$75 million	0
Instagram	social	June 2010		Instagram is a free photo sharing application that enables its users to take photos, apply filters, and share them on social networks such as Facebook, Twitter, Foursquare, Tumblr, Flickr, and Posterous. It allows its users to capture and customize their photos and videos with several custom-built filter effects.	Mike Krieger, Kevin Systrom	$57.5 million	0
ixigo	Travel & tourism	2007		ixigo.com is a travel search engine based in Gurgaon, India, and a mobile travel application available on Android, iOS and Windows Phone	Aloke Bajpai,Rajnish Kumar	13.7 million USD in 2011, 2015 is undisclosed	0
Jugnoo	Hyperlocal Services	November 2014		'Founded by a handful of IITians, Jugnoo is India''s largest technology driven on-demand auto rickshaw aggregator, which connects riders with safe, reliable, convenient auto rickshaw just in few clicks across 40+ cities in India.'	Samar Singla, Chinmay Agarwal	$16 million	0
lenskart	E-Commerce	2010		Lenskart.com has the biggest collection of discounted contact lenses consisting all top-notch brands. The website has over 500 designs of eyeframes, in multiple colors, for all age groups.	Amit Chaudhary	$129.54M	0
LinkedIn	social	May 2003		LinkedIn is a professional networking site that allows its members to create business connections, search for jobs, and find potential clients.  The site also enables its users to build and engage with their professional networks; access shared knowledge and insights; and find business opportunities.	Reid Hoffman, Allen Blue, Eric Ly, Jean-Luc Vaillant, Konstantin Guericke	$103.2 million	1
Microsoft	public	April 1974		Microsoft is an American multinational corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.he company markets and distributes its products through original equipment manufacturers, distributors, and resellers, as well as online. 	Bill Gates, Paul Allen	$1 million	1
MobiKwik	Mobile Wallets / Online Payments	April 2009		MobiKwik is a ten-person Indian company offering a mobile phone based payment system. In 2014, MobiKwik won the mBillionth Award South Asia in the category of Mobile Business.A user has to add money once to MobiKwik wallet and can then use it multiple times across functions, services, and service providers. Storing money in MobiKwik wallet reduces the risk of exposing card details or bank account details at multiple merchants when shopping online	Bipin Preet Singh, Upasana Taku		0
Moonfrog Labs	Gaming	2013		Moonfrog Labs, a Bangalore-based startup that makes mobile games especially for players in India,	Kumar Puspesh,Tanay Tayal	15 million USD	0
Nestaway	Travel & tourism	2015	unknown	"'Nestaway is India''s fastest growing ""managed home rental"" company attempting to provide better rental solutions via design and technology.'"	Deepak Dhar, Smruti Parida, Jitendra Jagadev, Amarendra Sahu	30 million	0
Netflix	public	August 1997		Netflix is an online platform that enables user to watch TV shows and movies on smart TVs, gaming consoles, PCs, Macs, mobiles, tablets, and so on. It provides its services under three segments: international streaming, domestic streaming, and domestic DVD.	Marc Randolph, Mitch Lowe, Reed Hastings	$2.7 billion	0
nykaa	E-Commerce	2012	775 cr	Nykaa.com is a premier online beauty and wellness destination.	Falguni Nayar	undisclose	0
Octro	Mobile App	2006		What stands out about the company is the active user base that it has acquired in a very short span. Over 20 lakh engaged users play the games (which are age irrelevant) every day. Octro has also launchedTambola, a mobile game on the lines of the classic game by the same name, which has passed down through generations.The Octro mobile gaming company — behind popular Indian games like Teen Patti and Rummy — announced today that it has received Series A round funding of $15 million from Sequoia Capital.	Saurabh Aggarwal	$15 million	0
Oculus	Subsidiary	July 2012		'Oculus is enabling the world to experience anything, anywhere, with anyone through the power of virtual reality. The Oculus platform powers Rift and Samsung''s Gear VR.'	Nate Mitchell, Palmer Luckey, Jack McCauley, Brendan Iribe, Michael Antonov	$95.95 million	0
Ola	Travel	December 2010	$5 billion	Ola cabs has more than 200000 cars across 100 cities.It gets an average of more than 150000 bookings per day.Ola acquired TaxiForSure for about $200 million in 2015	Bhavish Aggarwal and Ankit Bhati	$1.23 billion	0
OnlineTyari	Education	January 2014		OnlineTyari is a web and mobile app platform delivering educational contents, mock tests and guidance for students and job aspirants preparing for various exams in India.The company has partnered with various institutions who provide quality material for various examinations. 	Vipin Agarwal, Udai Meena, Bhola Meena	$5.75 million	0
PAYTM	E-Commerce	2010		'PAYTM STARTED AS A PREPAID MOBILE RECHARGE WEBSITE.IT HAS BEEN ON THE RISE LATELY,PRIMARILY OWING YO THE DEMONETIZATION.PAYTM IS AN ACRONYM FOR ''PAY THROUGH MOBILE''.IT IS CURRENTLY INDIA''S LARGEST MOBILE PAYMENT SERVICE PLATFORM '	VIJAY SHEKHAR SHARMA	$575 million	0
Pepperfry	E-Commerce	January 2012		Pepperfry is today India’s No. 1 online Furniture, Home and Living destination, offering products across categories like Furniture, Home Décor, Furnishings, Kitchen & Dining, Housekeeping, Fitness, Leisure and Pet Supplies.	Ambareesh Murty, Ashish Shah	$159M	0
playsimple	Gaming	2014	5.40 billionUSD	At PlaySimple Games, we are on a mission to create engaging mobile products to connect people. We are a bunch of engineers & product people from companies like Zynga, Bain, Walmart Labs & Yahoo.	Preeti Reddy, Siddhanth Jain, Suraj Nalin, Siddharth Jain	4 million	0
Practo	private	May 2008		Practo is a technology firm which enhances patient experience by revving-up clinics across India with simple, technology products. Its ﬁrst offering, Practo Ray is an easy-to-use online practice management software for doctors and currently helps 8,000+ doctors treat 3 million patients across India. 	Shashank ND, Abhinav Lal	$179 million	0
Quikr	Advertising�platform	2008		Quikr is backed by Kinnevik, Matrix Partners India,Omidyar Network, Norwest Venture Partners, Nokia Growth Partners, Warburg Pincus and eBay InQuikr provides an online classified advertisingplatform for users to buy or sell goods and services from each other. Other services offered include amissed call service 	founded by Pranay Chulet and Jiby Thomas	12 million	0
railyatri	Travel & tourism	2013	486k dollar USD	RailYatri.in is creating a single-window knowledge gateway for Indian Railways passengers.	Kapil Raizada,Manish Rathi,Sachin Saxena	Undisclosed	0
rivigo	Logistics	2014	114.9 million USD	Rivigo is built for clients who need hassle free, reliable, professional and super-express logistics services.	Deepak Garg	$75 million	0
ScoopWhoop	Publishing	2013		ScoopWhoop is an internet media company that creates and curates India-specific stories for a wider audience. It focuses on sections such as life, news, humor, travel, sports, food, foreigners, and more.	Sattvik Mishra	$5.17 million	0
ShopClues	E-Commerce	July 2011		'With Series E, ShopClues is now valued at more than $1.1 billion (Rs 7,300 crore) following undisclosed funding led by Singapore''s sovereign wealth fund GIC. ShopClues has other investors like Series B investors Helion and Nexus and a Japanese Internet company. Prior to Series A, ShopClues had raised a round (in Aug. 2011) from angels including from early employees of companies like Google, Netscape and many serial entrepreneurs from Silicon Valley..'	Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi	$1.1 billion (Rs 7,300 crore)	0
Simplilearn	Education	September 2009		Simplilearn helps professionals across the globe realize their dream careers.Simplilearn offers  certification training courses that help professionals get the edge they want in their careers.	Krishna Kumar	$28 million	0
Snap Inc.	Multimedia	May 2011		Snap, formerly Snapchat Inc, is a privately owned multinational camera company.Snapchat evolved into a mix of private messaging and public content, including brand networks, publications, and live events such as sports and music.	Bobby Murphy, Evan Spiegel	$2.65 billion	0
Snapdeal	E-Commerce	February 2010	$6.5 billion	The founders initially started as offline couponing business.Snapdeal has received 7 rounds of fundings with the latest one by Alibaba group and Softbank worth $500 million.Snapdeal also many acquisitions to its name,the most famous being the one of FreeCharge.com in 2015	Kunal Bahl and Rohit Bansal	$1.721 billion	0
Tapzo	Mobile App	June 2010		Tapzo (formerly Helpchat) is an All in One App for high frequency use cases. This could be anything from finding best offers, booking cabs/taxis & autos, ordering food, recharging prepaid mobile & DTH, reading news, following & sharing trending, funny & viral stories, checking live cricket scores etc.	Ankur Singla, Vishal Pal Chaudhary, Vishrut Chalsani, Avinash Vankadaru	$21.2 million	0
Tesla Motors	public	July 2003		Tesla Motors was started by a group of Silicon Valley entrepreneurs and strives to create a revolution and accelerate the world’s transition to electric mobility with a full range of increasingly affordable electric cars. Tesla vehicles are EVs (electric vehicles), which are transforming the way people drive and move. 	JB Straubel, Martin Eberhard, Ian Wright, Marc Tarpenning, Elon Musk	$2.37 billion	1
TVF Play	Entertainment	2010		the idea behind the launch of the network was to reach out to the younger generation who seldom watch the television to either pass the time or for entertainment. They have created a web series called Permanent Roommates.The series was the second most-viewed long-form web series in the world at one time.TVF videos have more than two million subscribers on YouTube.	Arunabh Kumar	$10M	0
Twitter	social	March 2006		Twitter is a global social networking platform that allows its users to send and read 140-character messages known as “tweets”. It enables registered users to read and post their tweets through the web, short message service (SMS), and mobile applications.	Noah Glass, Jack Dorsey, Ev Williams, Biz Stone	 $1.16 billion	1
Urban Ladder	E-Commerce	2012		Urban Ladder is a curated online furniture seller in Bangalore, India.It is present in 12 cities across India	Ashish Goel,Rajiv Srivatsa	3 million USD	0
