NAME	TYPE 	DATE	VALUATION	INFO	CO-FOUNDERS	FUNDINGS	Legendary
FLIPKART	E-COMMERCE	October 2007	500	It started of as a book selling website.the initial investment in the making of the website was 4 lakhs.both the co-founders are alumni of iit delhi.it is tied up with 12 different courier services as of now.	SACHIN BANSAL AND BINNY BANSAL	$700 million	0
snapdeal	e commerce	February 2010	435	The founders initially started as offline couponing business.Snapdeal has received 7 rounds of fundings with the latest one by Alibaba group and Softbank worth $500 million.Snapdeal also many acquisitions to its name,the most famous being the one of FreeCharge.com in 2015	Kunal Bahl and Rohit Bansal	$1.721 billion	0
PAYTM	E-COMMERCE	2010	490	Paytm started as a prepaid mobile recharge website.it has been on the rise lately,primarily owing to the demonetization.paytm is an acronym for 'pay through mobile'.it is currently india's largest mobile payment service platform	VIJAY SHEKHAR SHARMA	$575 million	0
Ola	Travel	December 2010	420	Ola cabs has more than 200000 cars across 100 cities.It gets an average of more than 150000 bookings per day.Ola acquired TaxiForSure for about $200 million in 2015	Bhavish Aggarwal and Ankit Bhati	$1.23 billion	0
hike 	social	December 2012	440	Hike supports two chat themes that a user can change based on their relationship with the person or their mood.hike has around 5000+ stickers,and also had conducted a great indian sticker challenge inviting people to design sticker of their own. It also allows 100Mb of data sharing at a time.	Kavin Bharti Mittal	$182 million	0
Zomato	Food	July 2008	450	Zomato currently operates in 23 countries, including India, Australia and the United States.It has acquired a large number of restaurant search services.It currently has more than 11 million customers.	Deepinder Goyal and Pankaj Chaddah	$225 million	0
cleartrip	travel	2006	300	"'This site was one among the most popular at the time of release.It collaborated with severals companies offering exciting discounts in order to attract customers.The slogan of cleartrip says ""Making Travel Simple''.'"	Matthew Spacie,Hrush Bhatt & Stuart Crighton	$56.4 million	0
xiaomi	private	April 2010	425	Xiaomi Inc. manufactures and distributes mobile phones and consumer electronics. The company also develops mobile applications. It offers internet value-added products including TV boxes, backpacks, phone screen protectors, earphones, and more.	Wang Chuan, Huang Jiangji, Zhou Guangping, Li Wanqiang, Jiangji Wong, Lin Bin, Liu De, Chuan Wang, Hong Feng, Lei Jun	$1.45 billion	0
Practo	private	May 2008	460	Practo is a technology firm which enhances patient experience by revving-up clinics across India with simple, technology products. Its ﬁrst offering, Practo Ray is an easy-to-use online practice management software for doctors and currently helps 8,000+ doctors treat 3 million patients across India. 	Shashank ND, Abhinav Lal	$179 million	0
Snap Inc.	mutlimedia	May 2011	400	Snap, formerly Snapchat Inc, is a privately owned multinational camera company.Snapchat evolved into a mix of private messaging and public content, including brand networks, publications, and live events such as sports and music.	Bobby Murphy, Evan Spiegel	$2.65 billion	0
Dropbox	 Online backup service	June 2007	390	'Dropbox''s mission is to provide a home for everyone''s most important information and bring it to life. We make it easy for hundreds of millions of people to access, share, and collaborate on their files so they can be more productive — at home and at work.'	Drew Houston, Arash Ferdowsi	$1.11 billion	0
Oculus	 Subsidiary	July 2012	465	'Oculus is enabling the world to experience anything, anywhere, with anyone through the power of virtual reality. The Oculus platform powers Rift and Samsung''s Gear VR.'	Nate Mitchell, Palmer Luckey, Jack McCauley, Brendan Iribe, Michael Antonov	$95.95 million	0
Netflix	public	August 1997	305	Netflix is an online platform that enables user to watch TV shows and movies on smart TVs, gaming consoles, PCs, Macs, mobiles, tablets, and so on. It provides its services under three segments: international streaming, domestic streaming, and domestic DVD.			0
 Instagram	social	June 2010	405	Instagram is a free photo sharing application that enables its users to take photos, apply filters, and share them on social networks such as Facebook, Twitter, Foursquare, Tumblr, Flickr, and Posterous. It allows its users to capture and customize their photos and videos with several custom-built filter effects.	Mike Krieger, Kevin Systrom	$57.5 million	0
lenskart	E-commerce	2010	315	Lenskart.com has the biggest collection of discounted contact lenses consisting all top-notch brands. The website has over 500 designs of eyeframes, in multiple colors, for all age groups.	Amit Chaudhary	$129.54M	0
Yupp Tv	Media and Entertainment	2006	175	YUPPTV is an online platform providing access to Indian TV channels and magazines of various languages. YuppTV offers 898+ Indian TV Channels in 13 languages that include Tamil, Hindi, Telugu, Malayalam, Kannada, Marathi, Bengali, Punjabi, Oriya, Gujarati, Sinhalese, Urdu and English.	Uday Reddy	$57.5M	0
Voonik	Online shopping	January 2013	150	'Voonik is a startup founded by like-minded people from companies including Amazon, Zoho, HP Research Labs, IBM, Fresh Desk, and Aryaka. Voonik is india''s first online shopping store for women.'	Sujayath Ali, Navaneetha Krishnan	$25.5M	0
TVF Play	Entertainment	2010	340	the idea behind the launch of the network was to reach out to the younger generation who seldom watch the television to either pass the time or for entertainment. They have created a web series called Permanent Roommates.The series was the second most-viewed long-form web series in the world at one time.TVF videos have more than two million subscribers on YouTube.	Arunabh Kumar	$10M	0
Cardekho	Automotive	2008	433	'CarDekho.com is India''s leading car search venture that helps users buy cars and bikes that are right for them.The company has tie-ups with many auto manufacturers, more than 4000 car dealers and numerous financial institutions to facilitate the purchase of vehicles.'	Amit Jain, Anurag Jain	$65M	0
Grofers	E-commerce	December 2013	430	"The name Grofers comes from ""grocery gophers"".Grofers offers a wide assortment of groceries, fruits & vegetables, cosmetics, electronics, bakery items, pet care products and much more. Grofers currently operates in a total of 26 cities across India."	Saurabh Kumar, Albinder Dhindsa	$165.5M	0
Pepperfry.com	E-commerce	January 2012	373	Pepperfry is today India’s No. 1 online Furniture, Home and Living destination, offering products across categories like Furniture, Home Décor, Furnishings, Kitchen & Dining, Housekeeping, Fitness, Leisure and Pet Supplies.	Ambareesh Murty, Ashish Shah	$159M	0
BookMyShow	social entertainment	August 2007	265	Network 18 invested in March 2007. In August, the same year an internal contest was held to coin a name for the new company. A developer intern came up with the name BookMyShow.com and the rest as they say is history.What happens when 3 long-time friends go holidaying together in South Africa? The seed of a BigTree is planted. A company is planned, from roots to fruits. Soon after the Eureka moment, C.E.O. Ashish Hemrajani quits his job at JWT, Co-Founder Parikshit Dar takes over Technology, and Co-Founder Rajesh Balpande takes over Finance.	Ashish Hemrajani, Parikshit Dar and Rajesh Balpande,		0
Quikr	Indian classified advertising platform	2008	415	Quikr is backed by Kinnevik, Matrix Partners India,Omidyar Network, Norwest Venture Partners, Nokia Growth Partners, Warburg Pincus and eBay InQuikr provides an online classified advertisingplatform for users to buy or sell goods and services from each other. Other services offered include amissed call service 	founded by Pranay Chulet and Jiby Thomas	as of 2013 reported 12 million listings.[	0
ShopClues	e commerce	July 2011	373	'With Series E, ShopClues is now valued at more than $1.1 billion (Rs 7,300 crore) following undisclosed funding led by Singapore''s sovereign wealth fund GIC. ShopClues has other investors like Series B investors Helion and Nexus and a Japanese Internet company. Prior to Series A, ShopClues had raised a round (in Aug. 2011) from angels including from early employees of companies like Google, Netscape and many serial entrepreneurs from Silicon Valley..'	Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi	$1.1 billion (Rs 7,300 crore)	0
MobiKwik	Mobile Wallets / Online Payments	April 2009	370	MobiKwik is a ten-person Indian company offering a mobile phone based payment system. In 2014, MobiKwik won the mBillionth Award South Asia in the category of Mobile Business.A user has to add money once to MobiKwik wallet and can then use it multiple times across functions, services, and service providers. Storing money in MobiKwik wallet reduces the risk of exposing card details or bank account details at multiple merchants when shopping online	Bipin Preet Singh, Upasana Taku		0
dailyhunt	mobile app	2009	343	Dailyhunt was earlier called Newshunt. Newshunt was created by Umesh Kulkarni and Chandrashekhar Sohoni in 2009 who once worked for Nokia. It worked on the Symbian platform and gained 1.8 crore page views in two years. In 2011 Newshunt became available on the Android platform. It was by that time that Gupta acquired the application.	Virendra Gupta		0
